crop,seed_type,soil,state,district,town_city,season,total_duration_estimate,sw_stage_dur,sw_tmin,sw_tmax,sw_rh,sw_rain,sw_wind,sw_solar_rad,sd_e_stage_dur,sd_e_tmin,sd_e_tmax,sd_e_rh,sd_e_rain,sd_e_wind,sd_e_solar_rad,tilrr_stage_dur,tilrr_tmin,tilrr_tmax,tilrr_rh,tilrr_rain,tilrr_wind,tilrr_solar_rad,stel_stage_dur,stel_tmin,stel_tmax,stel_rh,stel_rain,stel_wind,stel_solar_rad,btng_stage_dur,btng_tmin,btng_tmax,btng_rh,btng_rain,btng_wind,btng_solar_rad,hdng_stage_dur,hdng_tmin,hdng_tmax,hdng_rh,hdng_rain,hdng_wind,hdng_solar_rad,flwr_stage_dur,flwr_tmin,flwr_tmax,flwr_rh,flwr_rain,flwr_wind,flwr_solar_rad,grnm_stage_dur,grnm_tmin,grnm_tmax,grnm_rh,grnm_rain,grnm_wind,grnm_solar_rad,grnd_stage_dur,grnd_tmin,grnd_tmax,grnd_rh,grnd_rain,grnd_wind,grnd_solar_rad,rpng_stage_dur,rpng_tmin,rpng_tmax,rpng_rh,rpng_rain,rpng_wind,rpng_solar_rad,hrvst_stage_dur,hrvst_tmin,hrvst_tmax,hrvst_rh,hrvst_rain,hrvst_wind,hrvst_solar_rad
Chickpea,JG 36,Silty clay loam,Madhya Pradesh,Dewas,Kannod,Rabi,107,5,11.5,23.3,58,0.0,2.7,619,5,12.1,25.0,60,2.3,4.2,486,15,14.6,21.9,43,1.9,6.7,617,17,13.1,23.7,59,0.5,3.1,426,8,17.7,22.9,49,1.7,5.2,631,4,11.8,22.7,49,1.1,7.3,593,8,10.1,23.2,46,0.6,2.1,438,16,15.7,27.1,58,0.8,4.0,647,13,10.0,22.7,49,2.0,2.1,598,7,13.5,25.1,51,0.9,2.0,562,9,15.3,24.1,41,2.3,6.2,593
Soybean,RVS 2001-4,Medium Black (Vertisol),Madhya Pradesh,Bhopal,Bhopal,Kharif,119,4,23.3,33.8,68,3.7,6.0,559,11,22.2,30.6,72,4.2,7.0,471,18,25.1,29.5,70,5.3,3.4,493,13,25.6,32.4,75,6.1,6.0,507,9,27.7,31.2,59,7.9,7.3,527,6,27.4,32.4,73,5.7,3.0,584,10,26.3,31.7,71,3.6,5.9,631,11,24.5,31.8,56,3.7,4.1,604,16,25.9,29.2,61,6.7,3.0,643,11,22.4,29.6,66,2.5,6.4,606,10,18.0,31.1,72,6.4,7.6,654
Wheat,JW 3288,Sandy loam,Madhya Pradesh,Bhind,Damoh,Rabi,128,7,17.4,24.4,62,0.1,4.4,603,9,11.3,20.8,59,2.5,2.9,623,30,13.3,22.7,49,0.5,7.4,428,20,12.3,20.0,54,2.9,5.2,634,9,13.0,16.8,53,2.2,2.6,500,4,13.5,21.2,54,2.8,5.3,440,8,18.7,24.8,46,2.7,2.3,575,11,20.1,29.2,48,1.2,5.5,559,14,18.7,24.7,53,1.6,4.6,407,9,15.1,25.6,55,0.3,3.1,458,7,10.9,28.2,58,2.1,2.4,567
Wheat,MP 1203,Red loam,Madhya Pradesh,Sagar,Barwani,Rabi,111,7,16.2,22.1,51,1.2,6.8,510,13,15.7,21.2,53,1.3,3.9,577,18,12.7,18.5,63,1.6,6.7,493,22,13.8,21.9,56,2.6,4.3,502,8,12.1,19.4,49,1.6,5.7,504,2,14.0,19.1,51,0.5,2.2,639,4,18.6,26.4,53,1.1,4.7,632,13,21.6,24.1,53,0.2,5.8,452,10,18.8,25.5,51,1.4,6.1,460,12,13.0,24.2,54,0.4,5.5,583,2,11.8,24.4,49,0.8,6.3,471
Groundnut,JL 24,Alluvial loam,Madhya Pradesh,Datia,Tarana,Kharif,119,7,24.5,30.7,50,2.7,6.4,524,7,25.7,30.3,68,3.0,3.7,511,14,23.2,31.1,64,5.1,2.9,585,16,24.7,31.2,55,2.9,5.7,571,10,24.8,29.5,58,4.2,2.4,692,4,24.2,30.7,58,2.0,3.1,602,12,22.1,29.1,70,2.6,3.2,622,15,25.8,28.3,62,2.3,7.4,490,18,25.8,31.9,69,3.2,3.9,616,12,23.1,29.7,55,5.9,5.4,669,4,22.6,28.8,57,3.3,2.5,647
Wheat,HD 2967,Alluvial loam,Madhya Pradesh,Datia,Bhopal,Rabi,121,6,12.6,21.8,60,0.2,2.6,539,11,11.1,20.8,62,1.8,2.9,618,29,14.8,20.2,50,2.3,6.4,556,20,13.4,18.8,50,1.7,7.6,597,6,8.7,16.8,46,2.4,2.0,541,4,13.8,18.3,58,2.5,4.6,490,2,18.9,23.4,47,1.4,3.8,589,14,21.1,29.9,61,1.9,2.6,410,13,17.7,26.8,60,1.3,5.9,456,9,17.2,25.2,55,3.0,6.3,594,7,12.0,22.7,53,2.1,4.0,477
Wheat,MP 3288,Shallow Black (Vertisol),Madhya Pradesh,Datia,Umaria,Rabi,125,5,14.3,25.2,52,1.2,3.6,607,6,16.0,21.8,53,2.1,6.1,569,26,13.5,19.0,57,1.8,2.1,401,25,14.3,20.8,56,0.8,2.7,594,5,10.8,20.4,59,1.3,5.1,625,5,13.1,20.4,60,1.2,4.6,422,8,18.6,23.6,63,1.0,5.6,436,13,18.1,25.4,59,2.5,3.4,528,13,18.0,27.3,49,0.7,2.8,500,13,14.7,22.7,55,0.3,5.9,541,6,13.7,26.6,57,1.9,3.2,414
Lentil,Pusa Vaibhav,Sandy loam,Madhya Pradesh,Barwani,Katni,Rabi,109,6,13.9,18.2,51,2.2,6.1,627,8,13.2,24.4,44,1.8,6.4,590,10,12.2,23.2,54,0.6,5.6,461,18,13.3,19.7,45,0.4,3.7,404,8,11.7,19.8,57,1.5,7.1,637,7,14.5,23.4,40,1.1,2.8,520,10,13.4,22.5,54,0.3,3.1,535,14,10.2,25.2,42,0.7,8.0,565,12,12.2,24.3,53,0.2,7.3,583,10,15.8,19.6,47,0.7,2.2,612,6,8.4,24.8,50,0.7,6.3,549
Wheat,C-306,Alluvial loam,Madhya Pradesh,Alirajpur,Betul,Rabi,113,6,12.4,25.4,56,2.3,7.6,438,7,14.4,21.4,61,1.2,5.1,586,19,11.7,22.6,60,3.0,5.7,602,24,11.5,20.8,62,0.7,4.6,449,7,11.8,21.4,56,3.0,5.7,445,3,15.7,20.8,53,1.2,5.4,525,7,21.9,24.3,64,1.1,7.1,569,13,21.5,26.2,60,2.3,5.2,440,13,16.3,24.0,50,0.5,7.9,606,9,17.2,21.8,60,1.6,2.9,468,5,13.2,27.6,49,1.5,5.3,558
Rice,MTU-1010,Sandy loam,Madhya Pradesh,Vidisha,Dabra,Kharif,120,6,23.6,32.4,62,5.3,9.7,499,8,24.5,32.6,69,5.3,5.4,461,21,22.4,35.0,79,4.4,8.2,655,20,25.0,34.3,80,8.1,4.0,578,11,25.6,30.0,81,7.9,10.9,596,7,25.7,30.4,61,6.3,6.3,521,3,25.5,30.4,79,6.5,6.2,684,17,25.4,33.5,67,7.4,10.7,673,13,23.0,32.4,79,4.5,4.2,546,8,20.5,31.7,70,5.1,8.7,685,6,21.3,33.1,78,9.4,9.6,526
Pearl millet,MPH 1735,Sandy loam,Madhya Pradesh,Narsinghpur,Seoni,Kharif,94,2,26.2,36.6,41,4.7,6.7,716,6,23.6,30.7,56,2.0,7.3,563,11,25.0,31.7,42,1.9,7.2,516,15,26.0,30.1,52,4.4,3.3,627,9,23.9,30.8,55,3.4,7.2,593,8,23.3,37.0,57,4.5,6.8,661,7,25.6,32.4,55,2.6,5.3,538,13,25.6,36.3,57,1.6,3.3,560,9,25.9,32.7,43,2.5,5.0,710,7,24.4,31.4,60,1.7,6.1,526,7,25.4,33.1,50,2.5,8.0,677
Wheat,HD 2967,Clay loam,Madhya Pradesh,Jhabua,Seoni,Rabi,108,6,17.0,23.8,46,2.3,4.0,599,5,11.5,20.8,54,2.2,7.2,477,25,10.4,20.8,54,1.9,6.6,615,24,15.1,21.5,46,2.1,2.2,473,6,8.2,21.5,55,0.6,6.9,437,5,14.5,20.3,58,2.6,4.2,464,4,20.9,26.8,65,1.2,7.2,520,10,20.6,25.3,58,0.1,6.9,599,10,18.1,23.5,56,2.5,5.8,527,8,12.0,25.5,61,0.5,2.2,626,5,10.1,29.8,55,0.2,7.1,490
Rice,Swarna,Red loam,Madhya Pradesh,Indore,Indore,Kharif,129,7,23.2,32.4,79,9.7,6.5,654,12,25.8,36.0,67,8.6,4.4,480,17,24.4,31.8,74,6.7,10.9,574,18,25.1,33.7,77,8.7,9.6,699,9,24.5,30.7,64,8.8,8.5,692,8,27.7,30.4,66,9.9,6.9,655,9,26.8,32.3,79,7.9,9.7,656,14,25.3,33.1,61,7.3,5.2,456,16,23.7,30.8,63,6.5,3.1,636,10,22.0,30.1,78,7.1,7.3,492,9,23.0,26.4,66,4.2,3.6,696
Soybean,NRC 127,Red loam,Madhya Pradesh,Alirajpur,Barwani,Kharif,101,2,22.3,28.7,63,3.1,7.1,612,9,23.6,32.1,69,7.9,2.8,454,14,23.0,29.8,67,6.7,3.9,456,12,22.6,30.5,75,7.9,5.7,660,9,28.0,32.2,59,7.9,3.5,451,5,24.9,28.7,59,6.4,2.2,692,4,26.1,31.1,74,2.1,2.0,485,13,25.0,29.2,73,6.0,6.5,571,12,25.1,27.4,71,5.4,6.6,553,10,22.1,30.0,68,7.3,5.8,676,11,23.5,26.7,71,4.3,3.4,573
Wheat,MP 3288,Shallow Black (Vertisol),Madhya Pradesh,Datia,Morena,Rabi,130,7,17.0,24.0,64,2.1,6.5,502,9,12.6,22.9,54,2.4,6.7,490,33,10.2,22.3,60,1.0,2.4,639,22,15.4,21.0,64,2.5,3.8,544,8,10.2,18.3,45,0.8,4.7,504,6,13.2,18.8,51,2.2,2.6,531,4,21.4,26.4,60,0.1,7.1,565,10,20.9,25.1,51,1.7,7.0,522,16,18.5,23.7,65,1.6,6.6,508,9,13.3,25.8,60,1.6,4.1,459,6,10.6,24.1,57,2.2,6.8,649
Wheat,GW 322,Clay loam,Madhya Pradesh,Burhanpur,Sanwer,Rabi,111,8,15.4,23.7,57,0.8,5.6,459,9,14.3,20.4,50,1.3,6.1,622,24,12.6,21.7,62,2.9,5.7,426,12,14.5,20.4,61,0.6,3.3,448,4,8.0,20.7,58,1.3,7.5,615,6,15.4,18.0,59,1.0,5.5,490,8,19.1,26.6,63,0.4,4.9,566,14,21.2,27.9,61,2.0,6.1,405,10,19.8,23.1,55,0.1,4.1,511,10,17.7,23.6,61,0.7,6.2,613,6,10.8,29.2,53,2.2,5.6,493
Soybean,JS 93-05,Sandy loam,Madhya Pradesh,Neemuch,Mandsaur,Kharif,112,8,23.4,29.9,58,3.6,8.0,551,10,20.6,31.9,63,7.3,5.5,521,12,26.0,31.7,71,4.6,6.8,453,14,23.5,32.6,68,3.0,3.7,565,7,26.3,31.9,59,2.4,4.8,527,9,26.2,30.6,69,7.8,3.9,549,11,25.9,31.4,56,2.6,3.1,473,11,25.3,28.8,70,3.6,5.8,496,13,23.8,28.1,75,3.7,2.5,591,9,20.2,30.6,70,6.9,7.6,688,8,23.1,28.0,67,2.2,2.9,688
Wheat,C-306,Clay loam,Madhya Pradesh,Dhar,Maihar,Rabi,113,6,17.8,25.2,62,1.8,3.2,601,8,14.0,23.4,45,0.8,7.7,542,26,10.6,19.2,47,1.8,6.6,401,18,15.5,18.8,45,0.5,5.8,409,6,9.3,21.1,64,0.9,7.2,564,7,15.5,18.7,55,2.5,6.2,492,3,19.4,27.3,64,1.3,7.8,480,11,19.9,24.7,51,0.4,6.1,403,11,19.6,23.3,45,2.3,3.4,543,15,15.1,22.1,51,1.8,7.0,406,2,16.3,22.7,50,2.8,8.0,592
Wheat,GW 322,Alluvial loam,Madhya Pradesh,Chhindwara,Sausar,Rabi,109,5,16.8,22.4,59,3.0,5.9,461,9,12.4,21.1,54,2.3,2.3,627,25,13.4,23.0,45,0.4,7.3,622,17,13.9,19.9,64,1.3,6.2,508,5,8.6,21.3,61,1.9,7.0,597,4,15.5,18.9,50,1.0,6.0,461,8,18.6,22.7,50,0.1,4.9,499,12,18.6,24.4,56,1.8,6.4,649,11,19.5,24.7,57,1.5,2.5,488,10,16.2,25.3,63,2.0,2.5,552,3,11.7,21.6,50,0.6,6.5,543
Groundnut,AK 159,Sandy loam,Madhya Pradesh,Anuppur,Khandwa,Kharif,108,1,22.7,31.2,68,4.8,5.4,652,10,24.2,31.4,62,5.1,3.6,692,12,22.6,30.6,63,3.1,4.5,502,12,22.7,31.3,57,4.8,4.2,672,8,23.7,28.2,61,5.5,2.7,486,6,24.3,31.7,56,2.0,7.0,488,14,24.1,29.2,58,3.3,3.5,503,13,23.8,29.5,61,3.5,5.2,489,15,25.6,31.3,57,2.5,3.7,593,9,22.0,29.0,52,3.2,7.8,565,8,22.6,28.4,65,4.8,3.4,638
Wheat,JW 3288,Alluvial loam,Madhya Pradesh,Shivpuri,Singrauli,Rabi,118,9,15.7,20.4,46,1.7,5.2,593,11,14.1,21.1,47,1.9,3.2,633,21,10.4,22.0,62,0.3,7.7,420,19,10.4,18.8,60,2.1,3.8,516,7,8.3,21.2,56,2.3,7.0,411,5,13.7,21.5,56,2.7,7.6,491,4,20.3,23.0,54,0.7,2.4,444,14,18.6,26.3,47,0.5,4.9,549,14,16.0,26.7,47,1.8,6.3,585,7,16.9,24.2,56,0.5,7.2,603,7,16.6,22.2,60,2.6,6.1,467
Wheat,JW 3288,Clay loam,Madhya Pradesh,Anuppur,Guna,Rabi,129,13,17.3,24.8,59,2.6,2.0,585,10,13.7,20.8,61,2.8,3.8,581,26,15.7,22.0,56,1.2,7.5,524,22,11.6,20.8,58,1.9,5.5,616,9,10.3,20.1,45,0.0,3.9,633,4,15.0,21.2,61,0.3,3.1,580,4,19.8,27.4,62,1.0,5.3,547,10,18.8,25.2,48,1.6,5.5,471,12,20.0,27.7,46,1.2,6.3,503,12,15.2,25.3,62,0.6,4.2,517,7,10.3,26.5,65,0.9,6.0,604
Wheat,HD 2967,Red loam,Madhya Pradesh,Narsinghpur,Mandsaur,Rabi,112,1,12.3,23.9,52,2.4,3.0,643,9,13.2,23.6,47,0.8,6.0,549,29,12.0,20.1,57,1.6,5.5,595,16,11.4,19.1,59,2.1,6.5,411,3,8.9,19.5,61,2.9,6.9,442,6,14.1,20.4,47,1.4,3.7,500,5,19.2,23.9,57,1.1,2.6,538,14,20.9,24.2,53,0.1,3.8,549,13,16.2,22.9,48,2.6,2.4,563,10,16.1,25.6,57,2.3,4.2,647,6,15.9,22.3,57,1.9,6.3,469
Wheat,GW 322,Deep Black (Vertisol),Madhya Pradesh,Anuppur,Ashoknagar,Rabi,112,1,15.9,21.0,47,1.4,2.5,529,9,13.4,22.8,47,1.7,2.7,589,24,10.8,21.2,63,0.9,3.9,497,21,15.5,21.0,63,1.8,4.9,561,7,9.6,17.0,58,2.7,7.3,540,6,15.1,18.1,47,2.6,6.1,499,7,19.1,23.0,54,1.9,3.6,529,12,18.0,29.7,58,2.9,4.4,439,12,19.4,25.4,51,1.5,3.0,488,10,14.5,22.9,65,2.3,6.9,553,3,12.2,27.5,54,2.7,4.6,499
Chickpea,JAKI 9218,Red loam,Madhya Pradesh,Umaria,Mandsaur,Rabi,109,2,11.6,25.6,42,1.8,3.1,491,6,11.6,23.8,59,1.6,5.0,527,20,13.8,27.4,58,1.3,7.3,430,14,17.5,20.2,50,1.1,7.7,467,5,16.1,24.7,57,1.9,6.4,463,6,10.7,23.3,60,0.3,4.7,415,11,16.5,25.3,42,0.4,2.6,553,16,17.1,25.4,50,1.7,4.3,642,12,16.5,22.7,44,1.1,2.5,426,8,15.3,26.9,41,1.0,5.2,626,9,13.4,25.9,46,2.1,6.1,572
Wheat,MP 1203,Silty clay loam,Madhya Pradesh,Katni,Neemuch,Rabi,126,10,13.3,20.4,46,0.6,5.8,532,9,11.6,22.5,52,1.7,6.8,486,30,10.9,22.2,62,0.3,5.3,476,17,10.3,21.8,57,2.1,5.4,530,7,11.8,18.8,48,2.4,2.2,552,5,12.4,20.7,52,1.4,3.0,603,6,18.6,22.4,48,0.2,4.0,647,14,19.0,29.5,64,2.8,5.2,403,13,17.5,27.5,56,0.9,3.5,438,9,16.4,24.1,59,2.0,4.5,411,6,10.9,29.1,62,1.5,3.9,419
Wheat,MP 3288,Red loam,Madhya Pradesh,Shivpuri,Vidisha,Rabi,114,4,15.3,23.0,45,1.2,7.4,497,9,11.5,23.4,61,1.4,3.6,479,18,15.7,22.6,50,1.6,7.9,420,23,13.3,21.6,57,1.3,4.3,491,6,10.1,20.5,46,2.5,3.5,622,7,13.0,18.9,51,1.8,7.7,623,7,18.6,23.3,53,0.3,5.3,437,11,20.0,27.7,60,2.1,7.3,608,14,18.7,24.7,59,1.3,5.5,578,10,13.9,25.9,64,2.5,3.0,614,5,17.9,29.7,50,2.1,3.4,429
Soybean,JS 95-60,Clay loam,Madhya Pradesh,Alirajpur,Jhabua,Kharif,108,3,23.2,31.6,75,3.0,2.0,637,11,21.5,33.5,56,6.3,5.7,697,16,23.2,32.2,58,5.9,4.6,479,11,23.3,28.4,74,4.0,5.0,495,8,24.1,29.4,73,5.9,5.5,458,10,24.9,30.2,70,6.0,4.5,557,7,24.0,28.6,62,7.5,5.1,455,9,23.2,31.8,60,2.8,6.5,541,14,25.4,28.8,66,7.2,6.4,618,14,22.0,31.2,63,7.7,7.6,601,5,20.8,31.7,56,2.5,5.2,452
Mustard,RH 406,Shallow Black (Vertisol),Madhya Pradesh,Narsinghpur,Agar Malwa,Rabi,111,7,11.4,20.0,43,2.6,3.4,490,6,11.0,22.1,56,2.0,4.7,613,13,12.9,22.0,47,0.5,2.4,588,17,11.6,22.4,56,1.7,3.1,582,9,10.6,25.4,52,1.3,5.9,620,8,12.3,25.7,41,0.5,2.9,497,12,10.8,25.3,51,1.7,5.4,527,13,10.9,22.9,54,0.0,6.2,441,8,12.9,25.1,58,0.1,6.4,642,10,13.3,25.8,58,1.8,6.4,648,8,11.8,18.5,46,1.7,5.8,496
Wheat,JW 3288,Clay loam,Madhya Pradesh,Sidhi,Bhopal,Rabi,130,8,16.6,23.7,59,0.5,7.8,464,10,14.0,22.8,47,1.0,5.7,570,28,14.4,21.9,65,1.5,2.1,612,23,13.3,18.7,62,0.2,5.8,578,8,9.7,20.4,57,0.5,4.6,458,7,14.5,20.2,49,0.3,5.1,624,2,19.0,27.0,65,0.7,7.3,441,13,18.4,29.8,59,2.4,6.2,448,13,17.4,27.0,50,0.9,6.0,479,11,13.1,24.8,59,1.3,5.9,503,7,16.3,29.0,55,1.9,5.9,413
Maize,HQPM-5,Sandy loam,Madhya Pradesh,Ujjain,Ujjain,Kharif,102,3,18.0,26.2,68,5.7,4.0,544,6,18.4,33.2,63,3.4,8.7,555,13,21.6,27.2,70,3.6,3.9,521,16,22.5,28.9,57,4.9,3.0,636,12,19.4,34.5,66,3.4,4.2,531,9,21.1,34.4,50,2.6,5.6,530,6,23.8,27.6,65,2.8,7.7,577,12,20.4,27.8,55,4.0,4.3,559,11,18.2,31.0,60,5.8,6.7,512,8,20.2,26.2,55,3.2,6.2,648,6,20.1,33.7,59,4.8,2.5,594
Wheat,HI 8759 (Pusa Tejas),Shallow Black (Vertisol),Madhya Pradesh,Hoshangabad,Itarsi,Rabi,116,9,12.5,20.6,51,0.3,2.2,419,6,11.4,22.9,51,0.6,6.2,609,25,10.4,18.5,62,2.8,7.9,461,18,15.7,18.5,64,0.5,4.0,419,9,8.5,20.9,62,1.5,2.5,648,7,14.0,20.3,48,1.7,5.4,627,6,21.8,25.1,51,0.7,5.6,487,11,20.4,24.2,57,2.8,7.9,532,11,18.5,22.1,47,2.2,4.3,486,11,16.7,21.3,59,2.7,7.8,408,3,17.2,20.1,52,1.7,3.7,440
Soybean,JS 95-60,Red loam,Madhya Pradesh,Dindori,Ratlam,Kharif,103,4,20.0,32.1,73,4.9,5.4,531,6,22.1,31.2,69,3.0,3.6,538,16,23.5,31.5,67,4.2,5.0,642,11,25.7,32.3,74,4.6,4.3,457,9,24.6,28.4,60,2.1,3.4,566,6,24.3,30.4,71,2.6,4.6,476,6,26.4,31.7,61,6.9,5.2,551,12,22.5,26.0,61,3.5,4.1,534,10,25.6,32.0,57,6.7,4.4,501,15,21.1,28.0,61,4.2,7.8,507,8,20.0,28.3,67,4.1,2.9,486
